instance_id,file_path,location_count,functions,structs,variables,macros,others
050eeedd6c285d8c42f2,crypto/arc4.c,4,crypto_arc4_crypt; crypto_arc4_init; crypto_arc4_setkey,arc4_ctx,,,
050eeedd6c285d8c42f2,crypto/lskcipher.c,4,crypto_lskcipher_crypt; crypto_lskcipher_crypt_sg; crypto_lskcipher_decrypt,lskcipher_alg,,,
050eeedd6c285d8c42f2,crypto/skcipher.c,3,crypto_skcipher_decrypt; crypto_skcipher_setkey,skcipher_alg,,,
050eeedd6c285d8c42f2,crypto/algif_skcipher.c,2,_skcipher_recvmsg; skcipher_recvmsg,,,,
050eeedd6c285d8c42f2,arch/x86/lib/memcpy_64.S,1,memcpy_orig,,,,
1a0a53300ce782f8b3ad,fs/io_uring.c,9,__io_arm_poll_handler; io_do_iopoll; io_iopoll_try_reap_events; io_poll_check_events; io_poll_task_func; io_poll_wake,io_kiocb; io_poll_iocb; io_ring_ctx,,,
a168dbeaaa7778273c1b,drivers/video/fbdev/core/sysfillrect.c,3,bitfill_aligned; sys_fillrect,fb_fillrect,,,
a168dbeaaa7778273c1b,drivers/gpu/drm/drm_fb_helper.c,2,drm_fb_helper_sys_fillrect; drm_fbdev_fb_fillrect,,,,
a168dbeaaa7778273c1b,drivers/video/fbdev/core/bitblit.c,1,bit_clear_margins,,,,
a168dbeaaa7778273c1b,drivers/video/fbdev/core/fbcon.c,3,fbcon_clear_margins; fbcon_do_set_font; fbcon_set_font,,,,
a168dbeaaa7778273c1b,include/linux/string.h,1,memset_l,,,,
a168dbeaaa7778273c1b,arch/x86/include/asm/string_64.h,1,memset64,,,,
10e27961f4da37c443b2,kernel/dma/mapping.c,3,__dma_map_sg_attrs; dma_map_sgtable,dma_devres,,,
10e27961f4da37c443b2,drivers/dma-buf/udmabuf.c,3,begin_cpu_udmabuf; get_sg_table,udmabuf,,,
10e27961f4da37c443b2,drivers/dma-buf/dma-buf.c,3,dma_buf_begin_cpu_access; dma_buf_ioctl,dma_buf,,,
10e27961f4da37c443b2,include/linux/dma-mapping.h,2,dma_map_sg_attrs,,,DMA_ATTR_SKIP_CPU_SYNC,
1fa91bcd05206ff8cbb5,include/linux/skmsg.h,3,sk_psock_get; sk_psock_put,sk_psock,,,
1fa91bcd05206ff8cbb5,include/linux/refcount.h,3,refcount_inc_not_zero; refcount_read,refcount_struct,,,
1fa91bcd05206ff8cbb5,include/linux/instrumented.h,1,instrument_atomic_read,,,,
1fa91bcd05206ff8cbb5,include/linux/atomic/atomic-instrumented.h,1,atomic_read,,,,
1fa91bcd05206ff8cbb5,net/core/skmsg.c,2,sk_psock_destroy; sk_psock_init,,,,
1fa91bcd05206ff8cbb5,mm/kasan/generic.c,2,check_region_inline; kasan_check_range,,,,
1fa91bcd05206ff8cbb5,mm/slab.h,2,slab_address; slab_test_pfmemalloc,,,,
a76f6a6e524cf2080aa3,fs/fscache/volume.c,5,__fscache_acquire_volume; fscache_alloc_volume; fscache_hash_volume; fscache_volume_same,fscache_volume,,,
a76f6a6e524cf2080aa3,fs/9p/cache.c,1,v9fs_cache_session_get_cookie,,,,
a76f6a6e524cf2080aa3,include/linux/fscache.h,2,,fscache_volume,,fscache_acquire_volume,
a76f6a6e524cf2080aa3,lib/string.c,1,memcmp,,,,
a76f6a6e524cf2080aa3,include/linux/fortify-string.h,1,,,,__underlying_memcmp,
283ce5a46486d6acdbaf,fs/open.c,4,__fput; filp_close; fput; fput_many,,,,
283ce5a46486d6acdbaf,fs/file_table.c,3,file_free; file_free_rcu,file,,,
283ce5a46486d6acdbaf,mm/kasan/report.c,3,__kasan_report; kasan_report; print_address_description,,,,
283ce5a46486d6acdbaf,mm/kasan/generic.c,2,check_region_inline; kasan_check_range,,,,
283ce5a46486d6acdbaf,include/linux/fs.h,2,,file; file_operations,,,
283ce5a46486d6acdbaf,include/linux/file.h,2,fdput; fput_light,,,,
0b7c8bfd17c00d016fb4,kernel/printk/printk.c,4,call_console_drivers; console_lock_spinning_enable; console_unlock,console,,,
0b7c8bfd17c00d016fb4,drivers/tty/pty.c,2,pty_write,tty_struct,,,
0b7c8bfd17c00d016fb4,drivers/tty/tty_buffer.c,3,tty_buffer_alloc; tty_insert_flip_string,tty_port,,,
0b7c8bfd17c00d016fb4,drivers/tty/serial/8250/8250_port.c,3,serial8250_handle_irq; serial8250_tx_chars,uart_port,,,
0b7c8bfd17c00d016fb4,kernel/locking/lockdep.c,4,__lock_acquire; check_prev_add; validate_chain,held_lock,,,
0b7c8bfd17c00d016fb4,include/linux/spinlock_api_smp.h,2,__raw_spin_lock_irqsave,,,_raw_spin_lock_irqsave,
